kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_U64X2_C,21.700662294190828,0.0030199999940805355,128,256,1,10
JACCARD_B128_VPSHUFB_SAD,21.77275747248943,0.003010000000358559,128,256,1,10
JACCARD_B128_VPOPCNTQ,32.60497507760674,0.0020100000028833165,128,256,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,29.78909094581673,0.002199999997287705,128,256,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,29.78909094581673,0.002199999997287705,128,256,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,27.19336091057229,0.0024100000075577555,128,256,1,10
JACCARD_B128_VPOPCNTQ_PDX,36.20773479570556,0.001810000000546097,128,256,1,10
JACCARD_B128_VPSHUFB_PDX,27.887659543692767,0.002350000002593333,128,256,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,38.1023255768565,0.001720000000204891,128,256,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,29.114171505795536,0.00225099999795475,128,256,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,30.34074062571359,0.0021600000081889448,128,256,1,10
JACCARD_U64X2_C,89.28610341501471,0.007340000010458425,128,256,10,10
JACCARD_B128_VPSHUFB_SAD,52.30327211992419,0.012530000006449882,128,256,10,10
JACCARD_B128_VPOPCNTQ,39.24311379806784,0.016699999989100434,128,256,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,62.119431285842516,0.010549999998943349,128,256,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,95.53352770842474,0.0068599999991647564,128,256,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,71.8596491116429,0.009120000001416884,128,256,10,10
JACCARD_B128_VPOPCNTQ_PDX,113.1882555544184,0.005790000003003115,128,256,10,10
JACCARD_B128_VPSHUFB_PDX,97.23442131526048,0.006740000003446767,128,256,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,110.70270257827556,0.005920000006653936,128,256,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,112.02735054690979,0.005849999993756683,128,256,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,102.39999994021201,0.00640000000373675,128,256,10,10
JACCARD_U64X2_C,129.1324308794059,0.050751000003401714,128,256,100,10
JACCARD_B128_VPSHUFB_SAD,58.300344277925085,0.11241099998926529,128,256,100,10
JACCARD_B128_VPOPCNTQ,83.8367169427747,0.07817099999840593,128,256,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,67.54826274586641,0.09702100000197333,128,256,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,121.61068843089335,0.05389000000377564,128,256,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,73.7096647277371,0.08891099999175367,128,256,100,10
JACCARD_B128_VPOPCNTQ_PDX,136.24948024729198,0.048100000000772525,128,256,100,10
JACCARD_B128_VPSHUFB_PDX,119.61088500675669,0.0547909999966123,128,256,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,114.71180271658316,0.0571309999912728,128,256,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,136.6443568937369,0.04796099999282433,128,256,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,129.7459958909444,0.050511000011965734,128,256,100,10
JACCARD_U64X2_C,33.26700508334095,0.003939999999147403,128,512,1,10
JACCARD_B128_VPSHUFB_SAD,31.356937869683318,0.004179999990583383,128,512,1,10
JACCARD_B128_VPOPCNTQ,48.725650515898806,0.00269000000230335,128,512,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,44.431186510048796,0.002949999995394137,128,512,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,46.31519435158986,0.002829999999676147,128,512,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,40.7055901073967,0.003219999996417755,128,512,1,10
JACCARD_B128_VPOPCNTQ_PDX,52.63935743043489,0.0024899999999661304,128,512,1,10
JACCARD_B128_VPSHUFB_PDX,48.18823533521701,0.0027199999976801337,128,512,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,62.41523799940031,0.0021000000032245225,128,512,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,54.61333334186838,0.0023999999996249244,128,512,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,53.065586775507406,0.0024700000125221777,128,512,1,10
JACCARD_U64X2_C,126.76208893949698,0.010340000002884153,128,512,10,10
JACCARD_B128_VPSHUFB_SAD,58.61896246318824,0.022359999988452728,128,512,10,10
JACCARD_B128_VPOPCNTQ,87.73226238405815,0.014939999999796783,128,512,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,70.69687163183073,0.01853999999923417,128,512,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,112.99310351207622,0.011599999993450183,128,512,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,83.16751263335989,0.015760000010800468,128,512,10,10
JACCARD_B128_VPOPCNTQ_PDX,145.47391787838495,0.00900999999942087,128,512,10,10
JACCARD_B128_VPSHUFB_PDX,129.13497526157298,0.010150000008479765,128,512,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,148.10395479567862,0.008850000000393266,128,512,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,156.5973717690531,0.008369999989099597,128,512,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,146.44916186934984,0.008950000008667303,128,512,10,10
JACCARD_U64X2_C,133.85484218075112,0.09792099999117454,128,512,100,10
JACCARD_B128_VPSHUFB_SAD,60.74841723855655,0.21576199999628898,128,512,100,10
JACCARD_B128_VPOPCNTQ,83.01423133647617,0.15789100000063172,128,512,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,69.81161218901522,0.18775099999857048,128,512,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,131.2675887050052,0.09985100000164948,128,512,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,83.13480737677196,0.15766199999234232,128,512,100,10
JACCARD_B128_VPOPCNTQ_PDX,151.09164263675203,0.08675000000835098,128,512,100,10
JACCARD_B128_VPSHUFB_PDX,132.43475361483942,0.09897099999989223,128,512,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,141.4379903247343,0.09267099999021866,128,512,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,161.51618589725467,0.08115099998917685,128,512,100,10
