kernel,bop/s,elapsed_ms,ndim,n_vectors,n_queries,knn
JACCARD_U64X2_C,19.73975909274217,0.0033199999904809374,128,256,1,10
JACCARD_B128_VPSHUFB_SAD,19.012474551366317,0.0034470000116471056,128,256,1,10
JACCARD_B128_VPOPCNTQ,31.015617698626173,0.0021129999936420063,128,256,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,28.568439609531474,0.0022939999837490177,128,256,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,27.069805810386978,0.002421000004915186,128,256,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,25.79142054984312,0.0025410000148440304,128,256,1,10
JACCARD_B128_VPOPCNTQ_PDX,30.117646927158606,0.0021760000095127907,128,256,1,10
JACCARD_B128_VPSHUFB_PDX,30.03483039082708,0.0021820000029038056,128,256,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,38.168899164851894,0.0017170000035093835,128,256,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,32.347482657408136,0.0020260000042071624,128,256,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,31.72120070819436,0.002065999979095068,128,256,1,10
JACCARD_U64X2_C,79.19758309111462,0.00827499999900283,128,256,10,10
JACCARD_B128_VPSHUFB_SAD,43.22384914592086,0.015161999982638008,128,256,10,10
JACCARD_B128_VPOPCNTQ,61.43232103249298,0.01066799998739043,128,256,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,51.32430106469527,0.012768999994250407,128,256,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,77.50236528429673,0.008455999989109841,128,256,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,59.38921613053382,0.011034999999992579,128,256,10,10
JACCARD_B128_VPOPCNTQ_PDX,97.36443343729773,0.006730999984938535,128,256,10,10
JACCARD_B128_VPSHUFB_PDX,70.7121276471621,0.009268000013662459,128,256,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,96.1502348049224,0.00681599999552418,128,256,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,100.0396884035588,0.006551000012677832,128,256,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,88.7420446428312,0.007385000003523601,128,256,10,10
JACCARD_U64X2_C,58.543034518218114,0.11194500001465713,128,256,100,10
JACCARD_B128_VPSHUFB_SAD,34.78094732567348,0.1884250000045995,128,256,100,10
JACCARD_B128_VPOPCNTQ,43.82711508129353,0.149533000012525,128,256,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,39.049037721159046,0.16782999998099513,128,256,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,97.87335723102879,0.0669599999980619,128,256,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,39.309021110898804,0.16672000000994558,128,256,100,10
JACCARD_B128_VPOPCNTQ_PDX,61.03639682472907,0.10737200000221492,128,256,100,10
JACCARD_B128_VPSHUFB_PDX,56.01654785934343,0.11699399999542948,128,256,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,63.74353188690909,0.10281199999440105,128,256,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,63.244036119058265,0.10362400001895367,128,256,100,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,58.99413983346858,0.11108900000067479,128,256,100,10
JACCARD_U64X2_C,35.90030114655626,0.0036510000143152865,128,512,1,10
JACCARD_B128_VPSHUFB_SAD,28.64961754087385,0.004574999991291406,128,512,1,10
JACCARD_B128_VPOPCNTQ,42.988520625677204,0.0030490000142435747,128,512,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,39.44387616786359,0.003322999987176445,128,512,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,43.53105254318264,0.003011000018204868,128,512,1,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,35.890471217371925,0.0036519999753181764,128,512,1,10
JACCARD_B128_VPOPCNTQ_PDX,45.19724140483049,0.0028999999983625457,128,512,1,10
JACCARD_B128_VPSHUFB_PDX,47.57604360857279,0.002754999997023333,128,512,1,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,55.445008205595,0.0023640000108571257,128,512,1,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,51.950852031448576,0.0025230000062492763,128,512,1,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,42.988520625677204,0.0030490000142435747,128,512,1,10
JACCARD_U64X2_C,103.35278343339363,0.012682000004815563,128,512,10,10
JACCARD_B128_VPSHUFB_SAD,37.00508188612157,0.035419999989017015,128,512,10,10
JACCARD_B128_VPOPCNTQ,68.07520507162137,0.019254000022783657,128,512,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,59.56193766774005,0.022005999994689773,128,512,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,92.58458725301463,0.01415699998119635,128,512,10,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,69.25865255319398,0.018925000006220216,128,512,10,10
JACCARD_B128_VPOPCNTQ_PDX,127.46474770848656,0.010282999994615238,128,512,10,10
JACCARD_B128_VPSHUFB_PDX,111.54114527684287,0.01175100001660212,128,512,10,10
JACCARD_B128_VPOPCNTQ_VPSHUFB_PDX,122.45141997750186,0.010704000004579939,128,512,10,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED_PDX,143.6720375128241,0.009123000012323246,128,512,10,10
JACCARD_B128_VPSHUFB_PRECOMPUTED_PDX,123.45483640673118,0.010617000015145095,128,512,10,10
JACCARD_U64X2_C,80.31175707017282,0.16320399998903667,128,512,100,10
JACCARD_B128_VPSHUFB_SAD,40.23254529163281,0.3257859999905577,128,512,100,10
JACCARD_B128_VPOPCNTQ,52.75652352626864,0.24844699998993747,128,512,100,10
JACCARD_B128_VPOPCNTQ_VPSHUFB,47.42164350669252,0.27639699999326695,128,512,100,10
JACCARD_B128_VPOPCNTQ_PRECOMPUTED,102.49849463816892,0.12787700001126723,128,512,100,10
JACCARD_B128_VPSHUFB_SAD_PRECOMPUTED,51.12291622995663,0.25638599998956124,128,512,100,10
